Element (at.%),,,,,,Processing,,,,,,,,,,,,References
Al,Co,Cr,Fe,Ni,Ta,YS_MPa,UTS_MPa, El_%,Homo_Temp_K,Homo_time_h,CR,Recrystalize_Temp_K,recrystalize_t_min,Annealing_Temp_K,Ann_time_h,Aging_Time_K,Aging_Time_h,DOI
11.1,22.3,22.2,22.2,22.2,0,820,940,30,298,0,70,298,0,1473,1,298,0,https://doi.org/10.1016/j.jmst.2020.02.069
11.1,22.3,22.2,22.2,22.2,0,450,600,48,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.jmst.2020.02.069
16.4,16.4,16.4,16.4,34.4,0,1008,1475,19,298,0,70,298,0,1273,1,873,50,https://doi.org/10.1016/j.scriptamat.2020.04.035
16.4,16.4,16.4,16.4,34.4,0,732,1147,24,298,0,70,298,0,1273,1,298,0,https://doi.org/10.1016/j.scriptamat.2020.04.035
16.4,16.4,16.4,16.4,34.4,0,650,1050,17,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.scriptamat.2020.04.035
16.4,16.4,16.4,16.4,34.4,0,740,1165,18,298,0,0,298,0,298,0,298,0,https://doi.org/10.1038/s41598-020-59513-2
0,37.6,18.6,0,43.8,0,147,447,78,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.scriptamat.2021.113898
7,23.3,23.2,23.2,23.3,0,490,840,45,298,0,90,298,0,1423,2,923,50,http://dx.doi.org/10.1016/j.matdes.2017.02.072
7,23.2,23.2,23.3,23.3,0,263,589,60,298,0,0,1423,2,298,0,298,0,http://dx.doi.org/10.1016/j.matdes.2017.02.072
7,23.2,23.2,23.3,23.3,0,220,550,60,298,0,90,1423,5,298,0,298,0,http://dx.doi.org/10.1016/j.matdes.2017.02.072
7,23.3,23.3,23.2,23.2,0,215,520,43,298,0,90,298,0,1423,1,973,50,http://dx.doi.org/10.1016/j.matdes.2017.02.072
7,23.2,23.2,23.3,23.3,0,159,410,65,298,0,90,298,0,1423,1,298,0,http://dx.doi.org/10.1016/j.matdes.2017.02.072
7,23.3,23.2,23.2,23.3,0,159,410,65,298,0,90,298,0,1423,1,298,0,http://dx.doi.org/10.1016/j.matdes.2017.02.072
4,24,24,24,24,0,645,1094,39,1473,4,30,298,0,1273,2,1073,18,http://dx.doi.org/10.1016/j.matchemphys.2017.07.037
0,25,25,25,25,0,180,425,68,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.matchemphys.2017.07.037
5.3,21,21.1,26.3,26.3,0,616,702,2.3,298,0,80,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2015.07.088
5.3,21,21.1,26.3,26.3,0,600,640,3.3,298,0,60,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2015.07.088
5.3,21,21.1,26.3,26.3,0,560,590,7,298,0,40,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2015.07.088
5.3,21,21.1,26.3,26.3,0,480,510,7,298,0,26.7,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2015.07.088
20,30,20,20,20,0,245,530,49,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
18,19.9,17.8,17.8,26.5,0,795,1150,3,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
16.6,18,16,16.4,33,0,680,1130,21,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
15.3,16.6,15.1,15,38,0,470,900,25,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
14.2,15.2,14.1,14.1,42.4,0,387,810,31,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
12,14,12,12,50,0,312,660,39,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.intermet.2016.09.003
25,25,0,25,25,0,1100,1300,9,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.jmmm.2014.07.023
20,26.6,0,26.7,26.7,0,1100,1500,32,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.jmmm.2014.07.023
14.3,27.9,0,28.9,28.9,0,375,1000,60,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.jmmm.2014.07.023
7.7,29.6,0,31.4,31.3,0,250,1750,52,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.jmmm.2014.07.023
7,23.1,23.3,23.3,23.3,0,310,525,44,973,72,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.actamat.2016.08.081
7,23.2,23.2,23.3,23.3,0,240,570,45,1173,72,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.actamat.2016.08.081
7,23.1,23.3,23.3,23.3,0,224,434,48,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.actamat.2016.08.081
3,32.34,32.33,0,32.33,0,733,1063,49,1373,48,88,298,0,1073,1,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
3,32.33,32.34,0,32.33,0,421,869,79,1373,48,88,298,0,1123,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
3,32.33,32.34,0,32.33,0,342,790,69,1373,48,88,298,0,1173,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.33,33.34,0,33.33,0,539,924,62,1373,48,88,298,0,1073,1,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.33,33.34,0,33.33,0,523,965,65,1373,48,88,298,0,1073,1,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.3,33.4,0,33.3,0,523,965,65,1373,48,88,298,0,298,0,1073,1,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.34,33.33,0,33.33,0,390,851,76,1373,48,88,298,0,1123,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.34,33.33,0,33.33,0,320,770,74,1373,48,88,298,0,1173,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
7.5,30.9,30.8,0,30.8,0,770,1044,48,1273,24,90,298,0,1173,0.5,298,0,https://doi.org/10.1016/j.jallcom.2019.06.005
0,33.34,33.33,0,33.33,0,410,850,75,1273,24,90,298,0,1173,0.5,298,0,https://doi.org/10.1016/j.jallcom.2019.06.005
7,31,31,0,31,0,306,795,68,1273,24,90,1373,5,298,0,298,0,https://doi.org/10.1016/j.jallcom.2018.12.065
4,32,32,0,32,0,281,771,73,1273,24,90,1373,5,298,0,298,0,https://doi.org/10.1016/j.jallcom.2018.12.065
2,32.6,32.7,0,32.7,0,226,763,75,1273,24,90,1373,5,298,0,298,0,https://doi.org/10.1016/j.jallcom.2018.12.065
9,30.4,30.3,0,30.3,0,945,1230,37,1473,6,78,298,0,298,0,1073,1,https://doi.org/10.1016/j.mtla.2019.100442
9,30.4,30.3,0,30.3,0,324,800,58,1473,6,78,298,0,1473,1,298,0,https://doi.org/10.1016/j.mtla.2019.100442
6.7,23.2,23.3,23.4,23.4,0,840,1039,32,1423,1,90,298,0,298,0,893,50,https://doi.org/10.1016/j.actamat.2018.12.010
6.7,23.2,23.3,23.4,23.4,0,159,410,65,1423,1,90,298,0,1423,0.5,298,0,https://doi.org/10.1016/j.actamat.2018.12.010
19,20,0,20,41,0,577,1103,18.7,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matlet.2018.01.017
17,14.3,14.3,28.6,25.8,0,731,1145,10.3,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matdes.2018.01.057
17,14.3,14.3,14.3,40.1,0,479,1067,14,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matdes.2018.01.057
17,28.6,14.3,14.3,25.8,0,473,1001,14.8,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matdes.2018.01.057
16.4,16.4,16.4,16.4,34.4,0,1110,1340,10,298,0,50,298,0,298,0,973,12,https://doi.org/10.1016/j.scriptamat.2018.07.022
16.4,16.4,16.4,16.4,34.4,0,750,1120,7,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.scriptamat.2018.07.022
16.4,16.4,16.4,16.4,34.4,0,1270,1400,21,298,0,86,298,0,298,0,973,1,https://doi.org/10.1038/s41467-019-08460-2
16.4,16.4,16.4,16.4,34.4,0,1180,1300,25,298,0,86,298,0,298,0,1013,1,https://doi.org/10.1038/s41467-019-08460-2
16.4,16.4,16.4,16.4,34.4,0,550,100,16,298,0,0,298,0,298,0,298,0,https://doi.org/10.1038/s41467-019-08460-2
16.4,16.4,16.4,16.4,34.4,0,1100,1150,11,298,0,90,298,0,298,0,1073,1,DOI:0.1038/s41598-018-21385-y
16.4,16.4,16.4,16.4,34.4,0,650,1080,17,298,0,0,298,0,298,0,298,0,DOI:0.1038/s41598-018-21385-y
16.4,16.4,16.4,16.4,34.4,0,646,1088,17,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.scriptamat.2020.04.035
6,30,15,13,30,6,980,1300,43,1423,2,65,1423,2,298,0,1073,4,https://doi.org/10.1016/j.scriptamat.2019.01.034
20,20,20,20,20,0,900,935,1,298,0,0,298,0,1273,6,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
20,20,20,20,20,0,900,935,1,1273,6,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
20,20,20,20,20,0,395,400,1,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
17,0,17,33,33,0,780,1230,17,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
17,0,17,33,33,0,780,1228,17,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
17,17,17,17,32,0,545,1030,16.5,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
16,16,16,16,36,0,545,1050,16,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
16,16,16,16,36,0,545,1110,20,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,860,1050,48,1373,48,90,298,0,298,0,1073,1,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,690,930,51,1373,48,90,298,0,298,1,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,550,800,64,1373,48,90,298,0,1273,1,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,305,525,44,298,0,0,298,0,970,72,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,280,570,44,298,0,0,298,0,1173,72,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,260,620,87,1373,48,90,298,0,1373,1,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
7,23.1,23.3,23.3,23.3,0,175,335,58,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
4,23,23,24,24,2,1005,1273,17,1473,4,70,298,0,298,0,973,4,https://doi.org/10.1016/j.matchar.2018.06.036
4,24,24,24,24,0,1005,1273,17,1473,4,70,298,0,298,0,973,4,https://doi.org/10.1016/j.matchar.2018.06.036
4,23,23,24,24,2,645,1094,39,1473,4,30,298,0,298,0,1073,18,https://doi.org/10.1016/j.matchar.2018.06.036
4,24,24,24,24,0,210,503,70,1473,4,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
0,25,25,25,25,0,190,453,70,1473,4,0,298,0,298,0,298,0,https://doi.org/10.1016/j.matchar.2018.06.036
0,33.4,33.3,0,33.3,0,430,910,75,1473,2,60,298,0,1073,1,298,0,DOI: 10.1038/ncomms10602
7,23.25,23.25,23.25,23.25,0,500,900,63,1373,1,60,298,0,298,0,873,24,https://doi.org/10.1016/j.msea.2019.138424
7,23.25,23.25,23.25,23.25,0,360,780,65,298,0,60,298,0,1373,1,298,0,https://doi.org/10.1016/j.msea.2019.138424
1,33,33,0,33,0,421,869,79,1373,48,88,298,0,1123,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
1,33,33,0,33,0,342,790,69,1373,48,88,298,0,1173,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
0,33.4,33.3,0,33.3,0,320,770,74,1373,48,88,298,0,1173,2,298,0,https://doi.org/10.1016/j.jmst.2020.02.073
7,23.1,23.3,23.3,23.3,0,840,1100,35,1423,10,90,298,0,298,0,893,50,https://doi.org/10.1016/j.scriptamat.2018.10.023
7,23.1,23.3,23.3,23.3,0,480,800,48,1423,10,90,298,0,1423,3,893,50,https://doi.org/10.1016/j.scriptamat.2018.10.023
7,23.1,23.3,23.3,23.3,0,130,390,70,1423,10,90,298,0,1423,3,298,0,https://doi.org/10.1016/j.scriptamat.2018.10.023
7,23.1,23.3,23.3,23.3,0,255,550,64,1473,20,95,298,0,1273,1,298,0,https://doi.org/10.1016/j.jallcom.2019.153445
11.2,22.2,22.2,22.2,22.2,0,1000,1280,27,298,0,70,298,0,1473,1,923,140,https://doi.org/10.1007/s12540-019-00284-5
11.2,22.2,22.2,22.2,22.2,0,770,1030,28,298,0,70,298,0,1473,1,923,4,https://doi.org/10.1007/s12540-019-00284-5
11.2,22.2,22.2,22.2,22.2,0,390,780,58,298,0,70,298,0,1473,1,298,0,https://doi.org/10.1007/s12540-019-00284-5
12.5,25,18.8,18.7,25,0,869,1240,12,298,0,70,298,0,1573,2,923,213,https://doi.org/10.1016/j.msea.2019.138241
12.5,25,18.8,18.7,25,0,772,1077,28,298,0,70,298,0,1573,2,923,4,https://doi.org/10.1016/j.msea.2019.138241
12.5,25,18.8,18.7,25,0,302,637,45,298,0,70,298,0,1573,2,298,0,https://doi.org/10.1016/j.msea.2019.138241
12.5,25,18.8,18.7,25,0,205,346,50,298,0,0,298,0,298,0,298,0,https://doi.org/10.1016/j.msea.2019.138241
12.5,12.5,12.5,12.5,50,0,1000,1175,6,1473,19,60,298,0,298,0,973,16,https://doi.org/10.1016/j.msea.2020.138940
10.7,14.4,14.3,14.2,46.4,0,910,1180,15,1473,19,60,298,0,298,0,973,16,https://doi.org/10.1016/j.msea.2020.138940
8.3,13.5,13.5,14.7,50,0,840,1070,14,1473,19,60,298,0,298,0,973,16,https://doi.org/10.1016/j.msea.2020.138940
5,20,20,20,35,0,310,700,45,1473,19,60,298,0,298,0,973,16,https://doi.org/10.1016/j.msea.2020.138940
0,25,25,25,25,0,250,640,61,1473,19,60,298,0,298,0,973,16,https://doi.org/10.1016/j.msea.2020.138940
7,23.3,23.5,22.7,23.5,0,551,981,42,1473,0,90,298,0,298,0,973,18,DOI: 10.1557/jmr.2018.186
7,23.3,23.5,22.7,23.5,0,490,825,48,1473,0,90,298,0,298,0,923,50,DOI: 10.1557/jmr.2018.186
7,23.3,23.5,22.7,23.5,0,285,540,50,1473,0,90,298,0,298,0,823,150,DOI: 10.1557/jmr.2018.186
0,33.4,33.3,0,33.3,0,520,880,60,1473,24,90,298,0,1273,1,298,0,DOI: 10.1557/jmr.2018.186
0,25,25,25,25,0,276,705,39,1473,0,90,298,0,298,0,1073,1,DOI: 10.1557/jmr.2018.186
11.1,22.3,22.2,22.2,22.2,0,355,714,42,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2016.06.040
11.1,22.3,22.2,22.2,22.2,0,350,650,43,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2016.06.040
0,25,25,25,25,0,155,472,59,298,0,0,298,0,298,0,298,0,http://dx.doi.org/10.1016/j.msea.2016.06.040
6,30.8,30.6,0,30.6,2,1006,1504,18,1498,24,70,298,0,1173,1,1023,64,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,954,1456,22,1498,24,70,298,0,1173,1,1023,16,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,858,1395,25,1498,24,70,298,0,1173,1,1023,4,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,819,1321,30,1498,24,70,298,0,1173,1,1023,1,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,602,1072,55,1498,24,70,298,0,1173,1,298,0,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,600,1000,52,1498,24,70,1423,3,298,0,298,0,https://doi.org/10.1016/j.actamat.2021.117288
0,33.4,33.3,0,33.3,0,294,741,74,1498,24,70,1423,3,298,0,298,0,https://doi.org/10.1016/j.jmst.2021.01.060
10,29.34,29.33,0,29.33,2,1100,1400,20,1498,24,70,298,0,298,0,298,0,https://doi.org/10.1016/j.actamat.2022.117981
20,0,20,20,40,0,774,1357,6.4,298,0,0,298,0,298,0,298,0,Produced in the Lab
18,0,20,20,42,0,610,1173,9,298,0,0,298,0,298,0,298,0,
16,0,20,20,44,0,479,956,12.7,298,0,0,298,0,298,0,298,0,
14,0,20,20,46,0,461,835,30,298,0,0,298,0,298,0,298,0,
12,0,20,20,48,0,441,757,45,298,0,0,298,0,298,0,298,0,
11,22.25,22.25,22.25,22.25,0,500,980,19,298,0,0,298,0,298,0,298,0,
10,22.5,22.5,22.5,22.5,0,320,700,30,298,0,0,298,0,298,0,298,0,
9.1,30.3,0,30.3,30.3,0,457,852,76,1523,0.5,85,298,0,1273,2,1523,0.1,
9.1,30.3,0,30.3,30.3,0,378,752,57,1523,0.5,85,298,0,1273,2,973,50,
9,22.5,22.5,23,23,0,275,610,36,298,0,0,298,0,298,0,298,0,
8,23,23,23,23,0,242,529,47,298,0,0,298,0,298,0,298,0,
7,23.5,23.5,23,23,0,832,1174,8,298,0,0,298,0,298,0,298,0,
7,23.5,23.5,23,23,0,690,930,51,1373,48,90,298,0,1173,1,298,0,
7,23.5,23.5,23,23,0,305,525,44,298,0,0,298,0,298,0,973,72,
7,23.5,23.5,23,23,0,285,540,55,298,0,90,298,0,1423,1,823,150,
7,23.5,23.5,23,23,0,210,500,58,298,0,0,298,0,298,0,298,0,
5.3,21,21.1,26.3,26.3,0,284,450,23.8,298,0,13.3,298,0,298,0,298,0,
5.3,21,21.1,26.3,26.3,0,92,440,45,298,0,0,298,0,298,0,298,0,
1,33,33,0,33,0,539,924,62,1373,48,88,298,0,298,0,1073,1,
0,33.4,33.3,0,33.3,0,390,851,76,1373,48,88,298,0,1123,2,298,0,
